diagonal;height_left;height_right;margin_low;margin_up;length
171.69;103.85;103.53;3.86;3.19;112.68
171.71;103.52;103.34;4.12;3.31;113.15
171.91;104.34;103.73;3.71;2.95;113.69
172.04;103.82;103.99;3.88;3.14;113.23
172.25;104.21;103.79;3.84;3.25;112.71
172.57;103.78;103.65;4.27;3.04;113.0
171.78;104.24;103.94;4.64;3.11;111.31
171.73;104.32;104.07;6.56;3.3;112.8
172.34;104.36;103.83;6.03;3.44;111.44
171.36;103.72;104.76;4.17;2.88;113.14
171.5;104.27;104.04;3.97;3.37;112.98
172.33;103.83;103.54;3.98;3.18;113.31
171.69;103.8;104.1;4.32;2.69;113.52
171.57;103.58;104.06;3.86;2.94;113.03
171.65;104.12;104.33;5.56;3.19;111.48
172.25;104.21;103.98;5.71;3.5;111.88
171.86;103.47;103.59;4.04;2.97;113.22
172.16;104.17;103.27;4.1;3.11;113.08
172.06;104.28;104.31;5.61;3.27;111.61
171.87;103.99;104.02;4.23;3.02;113.0
171.73;104.1;104.19;3.39;3.19;112.79
172.58;103.99;103.63;4.43;3.07;112.79
172.52;104.11;104.35;5.3;3.31;111.55
171.54;103.7;103.89;3.88;3.1;113.06
171.71;103.99;103.47;4.49;3.04;113.07
171.93;104.15;103.98;4.57;3.57;112.71
172.15;103.84;103.32;4.21;3.03;112.89
171.82;104.23;104.05;4.21;3.2;112.89
171.67;104.57;103.43;3.57;3.25;112.76
171.59;103.23;103.64;4.01;2.94;113.59
171.7;103.74;103.89;4.43;2.8;112.59
171.89;104.33;103.97;3.95;3.17;113.12
171.62;104.53;103.64;4.89;3.16;112.54
171.88;104.3;104.18;5.34;3.33;112.69
172.34;104.2;103.69;3.32;3.09;113.44
172.4;104.05;103.94;5.01;3.43;111.53
172.15;103.98;103.89;4.21;3.08;113.61
172.13;103.71;103.6;3.59;3.12;113.8
171.91;103.99;103.81;4.0;2.88;113.02
172.09;104.02;103.79;3.8;3.28;112.98
171.74;103.74;103.78;4.43;3.14;113.02
171.72;104.05;104.36;5.4;3.75;111.59
172.25;104.14;103.76;3.84;2.81;112.72
172.16;104.39;103.85;3.77;3.32;112.55
172.17;104.21;103.87;4.35;2.98;113.66
171.47;104.28;103.89;5.78;3.21;111.8
172.26;103.9;104.12;4.99;3.42;111.27
171.7;103.77;103.88;4.1;2.96;112.91
172.17;104.44;103.31;4.15;3.31;112.96
